#{"t_start": 1607308014.566538, "env_id": "BipedalWalker-v3"}
r,l,t
-78.038098,166,2403.488662
-69.95537,1600,2426.526509
-27.218024,1600,2449.709864
29.880094,1600,2472.909785
34.178156,1600,2494.838973
100.124732,1600,2517.817971
87.22854,1600,2540.07256
89.060865,1600,2562.823512
60.899493,1600,2586.024053
-57.955779,488,2592.78066
5.450909,1372,2611.571873
-64.160798,395,2617.296967
227.465061,1600,2640.873065
214.66901,1600,2663.258166
85.120199,1555,2684.7084
102.298131,1540,2706.948987
177.859621,1600,2729.849516
136.132714,1600,2753.277533
247.694678,1600,2775.696087
-8.697067,1032,2789.929826
-75.423413,857,2802.383943
103.206405,1600,2825.907015
10.101865,1600,2848.177285
39.119119,1600,2871.524127
-80.274527,1304,2889.638376
141.370369,1600,2912.153304
-55.490289,1600,2935.683931
3.844281,1600,2959.02316
-77.397459,1600,2981.265293
-8.734912,1600,3004.39436
88.142146,933,3017.562745
-53.194146,378,3022.779462
-23.92631,1600,3046.314803
77.223839,1600,3069.093914
-54.940315,577,3077.270911
-99.046672,205,3080.235276
251.104767,1600,3102.532394
85.534444,1328,3121.278935
-122.848677,88,3122.433409
274.375015,1346,3141.491404
42.14533,1600,3165.143864
-113.074771,313,3169.677404
47.318764,928,3183.100847
99.46992,1114,3199.071843
140.362666,1600,3221.68972
196.016941,1600,3244.123469
-142.7891,1600,3266.532218
243.335771,1600,3289.982423
-125.011347,1600,3312.86019
-137.136331,1600,3335.712112
-121.938093,1600,3358.926867
-122.636469,1600,3381.898955
-134.528355,1600,3405.190178
-114.217055,42,3405.934371
-112.283731,44,3406.663261
-112.204402,61,3407.660842
-130.667655,1600,3431.591625
-146.557986,1364,3450.621509
-93.373063,1600,3473.454285
-170.394872,1206,3491.008408
-58.709531,1600,3513.109055
16.571796,1600,3535.916862
-49.520836,1436,3556.799614
-117.638973,1600,3579.581324
-107.919088,1600,3603.321459
-101.257307,1600,3625.94887
-100.417202,155,3628.150474
193.473616,1600,3651.652832
152.186019,1600,3675.159342
36.349476,863,3687.108832
248.923999,1546,3709.602499
95.851521,918,3722.88914
-118.475314,76,3723.848496
254.352778,1544,3746.355228
-119.704638,224,3749.513455
-59.164049,761,3760.125326
-125.566825,758,3771.36565
