#{"t_start": 1606164716.281729, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,96.90802
-200.0,200,97.179881
-200.0,200,97.225082
-200.0,200,97.516423
-200.0,200,97.82265
-200.0,200,98.103818
-200.0,200,98.14455
-200.0,200,98.429486
-200.0,200,98.701819
-200.0,200,98.985397
-200.0,200,99.256929
-200.0,200,99.299199
-200.0,200,99.581486
-200.0,200,99.863793
-200.0,200,100.139143
-200.0,200,100.185586
-200.0,200,100.461037
-200.0,200,100.74248
-200.0,200,101.031109
-200.0,200,101.307983
-200.0,200,101.348067
-200.0,200,101.625098
-200.0,200,101.911261
-200.0,200,102.19336
-200.0,200,102.23504
-200.0,200,102.5132
-200.0,200,102.793877
-200.0,200,103.079424
-200.0,200,103.352854
-200.0,200,103.395887
-200.0,200,103.6797
-200.0,200,103.966021
-200.0,200,104.257749
-200.0,200,104.540683
-200.0,200,104.583147
-200.0,200,104.862041
-200.0,200,105.168252
-200.0,200,105.447739
-200.0,200,105.496591
-200.0,200,105.77346
-200.0,200,106.067523
-200.0,200,106.339343
-200.0,200,106.630795
-200.0,200,106.675058
-200.0,200,106.952638
-200.0,200,107.230105
-200.0,200,107.539541
-200.0,200,107.587501
-200.0,200,107.872395
-200.0,200,108.163708
-200.0,200,108.439994
-200.0,200,108.729139
-200.0,200,108.776817
-200.0,200,109.060009
-200.0,200,109.339258
-200.0,200,109.619974
-200.0,200,109.661043
-200.0,200,109.951733
-200.0,200,110.230926
-200.0,200,110.504441
-200.0,200,110.789544
-200.0,200,110.832707
-200.0,200,111.114092
-200.0,200,111.391547
-200.0,200,111.675675
-200.0,200,111.957183
-200.0,200,112.000569
-200.0,200,112.283562
-200.0,200,112.573317
-200.0,200,112.858985
-200.0,200,112.903982
-200.0,200,113.190779
-200.0,200,113.468293
-200.0,200,113.752997
-200.0,200,114.029871
-200.0,200,114.078794
-200.0,200,114.357146
-200.0,200,114.650031
-200.0,200,114.926674
-200.0,200,114.969242
-200.0,200,115.255163
-200.0,200,115.535646
-200.0,200,115.823587
-200.0,200,116.11277
-200.0,200,116.155806
-200.0,200,116.432335
-200.0,200,116.714899
-200.0,200,116.993047
-200.0,200,117.0374
-200.0,200,117.32008
-200.0,200,117.603602
-200.0,200,117.893705
-200.0,200,118.18286
-200.0,200,118.226274
-200.0,200,118.50138
-200.0,200,118.792582
